INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('036EG6XGHFJ822528-001', '036EG6XGHFJ822528', '1', 'Bioholding', 'user09', 81.07000000000001);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('036EG6XGHFJ822528-002', '036EG6XGHFJ822528', '2', 'Streethex', 'user09', 52.580000000000005);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('036EG6XGHFJ822528-003', '036EG6XGHFJ822528', '3', 'Konmatfix', 'user09', 57.19);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('03KAPEOTGE8482192-001', '03KAPEOTGE8482192', '1', 'Donware', 'user09', 49.33);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('03KAPEOTGE8482192-002', '03KAPEOTGE8482192', '2', 'Doncon', 'user09', 140.61);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('03KAPEOTGE8482192-003', '03KAPEOTGE8482192', '3', 'Xx-zobam', 'user09', 180.95999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('054CB5NHFMK652777-001', '054CB5NHFMK652777', '1', 'Rundofase', 'user09', 232.26000000000002);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('05PN35GUCGU088819-001', '05PN35GUCGU088819', '1', 'Sumace', 'user09', 40.39);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('05PN35GUCGU088819-002', '05PN35GUCGU088819', '2', 'Doncon', 'user09', 72.77);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('05PN35GUCGU088819-003', '05PN35GUCGU088819', '3', 'Faxquote', 'user09', 70.42);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('05PN35GUCGU088819-004', '05PN35GUCGU088819', '4', 'Doncon', 'user09', 123.73);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('05PN35GUCGU088819-005', '05PN35GUCGU088819', '5', 'Sumace', 'user09', 96.92);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0JMXH7GQF1K570196-001', '0JMXH7GQF1K570196', '1', 'Yearin', 'user09', 27.14);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0JMXH7GQF1K570196-002', '0JMXH7GQF1K570196', '2', 'Donquadtech', 'user09', 237.01999999999998);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0O56VQ0TP1C342110-001', '0O56VQ0TP1C342110', '1', 'Konmatfix', 'user09', 247.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0O56VQ0TP1C342110-002', '0O56VQ0TP1C342110', '2', 'Donware', 'user09', 765.38);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0O56VQ0TP1C342110-003', '0O56VQ0TP1C342110', '3', 'Scotfind', 'user09', 1102.68);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0O56VQ0TP1C342110-004', '0O56VQ0TP1C342110', '4', 'Yearin', 'user09', 480.35);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0O56VQ0TP1C342110-005', '0O56VQ0TP1C342110', '5', 'Bioholding', 'user09', 409.54);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0RTZMNEP443530450-001', '0RTZMNEP443530450', '1', 'Isdom', 'user09', 82.69);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0RTZMNEP443530450-002', '0RTZMNEP443530450', '2', 'Sumace', 'user09', 196.49);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0SR7K3TGOVW149442-001', '0SR7K3TGOVW149442', '1', 'Donquadtech', 'user09', 23.62);
INSERT INTO partorder (purchase_order_number, vin, order_number, part_vendor_name, username, total_cost) VALUES ('0SR7K3TGOVW149442-002', '0SR7K3TGOVW149442', '2', 'Yearin', 'user09', 30.82);
