VIN	order_num	vendor_name	part_number	description	price	status	qty
036EG6XGHFJ822528	001	Bioholding	BG-BAE0009	Front fascia and header panel	8.53	installed	1
036EG6XGHFJ822528	001	Bioholding	BG-BAE0017	Front spoiler	72.54	installed	1
0O56VQ0TP1C342110	005	Bioholding	BG-BAED0030	Door and bonnet	204.77	installed	2
0SR7K3TGOVW149442	003	Bioholding	BG-BAEW0033	Glass	4.83	installed	1
0SR7K3TGOVW149442	003	Bioholding	BG-EAEIS0081	Ignition controller	27.24	installed	1
0SR7K3TGOVW149442	003	Bioholding	BG-ICS0161	Seat cover	36.44	installed	1
0SR7K3TGOVW149442	004	Bioholding	BG-IFCAP0151	Carpet and other floor material	5.61	installed	1
1RMG763RUOZ482821	002	Bioholding	BG-EAEESS0055	Battery box	74.74	installed	1
1RMG763RUOZ482821	002	Bioholding	BG-EAEIS0076	Distributor	34.03	installed	1
1RMG763RUOZ482821	002	Bioholding	BG-EAES0112	IMA sensor	25.38	received	1
1RMG763RUOZ482821	002	Bioholding	BG-EAEWH0128	Air conditioning harness	55.92	installed	2
1RMG763RUOZ482821	003	Bioholding	BG-BAE0018	Rear spoiler	9.92	ordered	1
1RMG763RUOZ482821	003	Bioholding	BG-BAED0028	Door watershield	86.07	installed	2
1RMG763RUOZ482821	003	Bioholding	BG-EAEESS0060	Battery tray	96.50	received	1
1RMG763RUOZ482821	003	Bioholding	BG-EAES0107	Temperature sensor	115.91	installed	1
1U7J5TO2RMU974230	001	Bioholding	BG-EAEESS0061	Voltage regulator	24.37	installed	1
1U7J5TO2RMU974230	001	Bioholding	BG-EAEM0149	Transmission computer	1.28	installed	1
1U7J5TO2RMU974230	001	Bioholding	BG-ICS0161	Seat cover	34.18	installed	2
1U7J5TO2RMU974230	001	Bioholding	BG-PACBS0185	Calibrated friction brake	25.74	received	2
1V61QHRD20E210923	002	Bioholding	BG-EAEESS0060	Battery tray	68.89	ordered	1
1V61QHRD20E210923	002	Bioholding	BG-EAELASS0088	Interior light and lamp	43.86	received	1
1V61QHRD20E210923	002	Bioholding	BG-EAES0096	Crankshaft position sensor	57.71	received	1
1V61QHRD20E210923	002	Bioholding	BG-PACBS0180	Brake servo	44.88	received	1
2Y1UCXYY50T192604	005	Bioholding	BG-BAED0023	Door beam and panel	87.55	installed	1
2Y1UCXYY50T192604	005	Bioholding	BG-EAEGAM0064	Dynamometer	59.29	installed	1
2Y1UCXYY50T192604	005	Bioholding	BG-EAELASS0083	Engine bay lighting	149.48	installed	1
2Y1UCXYY50T192604	005	Bioholding	BG-EAES0094	Anti-pinch sensor	26.01	installed	1
3EAZYH5SPE8904041	001	Bioholding	BG-EAES0103	Power-steering pressure sensor	59.99	installed	2
3EAZYH5SPE8904041	001	Bioholding	BG-PACBS0175	Brake pedal	61.25	installed	1
55M41D1AGKW204016	003	Bioholding	BG-PACBS0197	Metering valve	43.93	installed	1
6ZG2Z4HYIKW532605	001	Bioholding	BG-EAEM0132	Air bag control module	46.19	installed	1
6ZG2Z4HYIKW532605	001	Bioholding	BG-PACBS0183	Shoe web	91.00	installed	2
6ZG2Z4HYIKW532605	001	Bioholding	BG-PACBS0184	Brake warning light	75.04	installed	1
