<<<<<<< HEAD
VIN,order_num,vendor_name,subtotal,purchase_order_number
=======
>>>>>>> dev
036EG6XGHFJ822528,1,Bioholding,81.07000000000001,036EG6XGHFJ822528-001
036EG6XGHFJ822528,2,Streethex,52.580000000000005,036EG6XGHFJ822528-002
036EG6XGHFJ822528,3,Konmatfix,57.19,036EG6XGHFJ822528-003
03KAPEOTGE8482192,1,Donware,49.33,03KAPEOTGE8482192-001
03KAPEOTGE8482192,2,Doncon,140.61,03KAPEOTGE8482192-002
03KAPEOTGE8482192,3,Xx-zobam,180.95999999999998,03KAPEOTGE8482192-003
054CB5NHFMK652777,1,Rundofase,232.26000000000002,054CB5NHFMK652777-001
05PN35GUCGU088819,1,Sumace,40.39,05PN35GUCGU088819-001
05PN35GUCGU088819,2,Doncon,72.77,05PN35GUCGU088819-002
05PN35GUCGU088819,3,Faxquote,70.42,05PN35GUCGU088819-003
05PN35GUCGU088819,4,Doncon,123.73,05PN35GUCGU088819-004
05PN35GUCGU088819,5,Sumace,96.92,05PN35GUCGU088819-005
0JMXH7GQF1K570196,1,Yearin,27.14,0JMXH7GQF1K570196-001
0JMXH7GQF1K570196,2,Donquadtech,237.01999999999998,0JMXH7GQF1K570196-002
0O56VQ0TP1C342110,1,Konmatfix,247.49,0O56VQ0TP1C342110-001
0O56VQ0TP1C342110,2,Donware,765.38,0O56VQ0TP1C342110-002
0O56VQ0TP1C342110,3,Scotfind,1102.68,0O56VQ0TP1C342110-003
0O56VQ0TP1C342110,4,Yearin,480.35,0O56VQ0TP1C342110-004
0O56VQ0TP1C342110,5,Bioholding,409.54,0O56VQ0TP1C342110-005
0RTZMNEP443530450,1,Isdom,82.69,0RTZMNEP443530450-001
0RTZMNEP443530450,2,Sumace,196.49,0RTZMNEP443530450-002
0SR7K3TGOVW149442,1,Donquadtech,23.62,0SR7K3TGOVW149442-001
0SR7K3TGOVW149442,2,Yearin,30.82,0SR7K3TGOVW149442-002
0SR7K3TGOVW149442,3,Bioholding,68.50999999999999,0SR7K3TGOVW149442-003
0SR7K3TGOVW149442,4,Bioholding,5.61,0SR7K3TGOVW149442-004
0SR7K3TGOVW149442,5,Donware,56.41,0SR7K3TGOVW149442-005
0XPRYKN4QTB854977,1,Plusstrip,135.97,0XPRYKN4QTB854977-001
15WH5TNL8GD986516,1,Streethex,142.85999999999999,15WH5TNL8GD986516-001
15WH5TNL8GD986516,2,J-Texon,36.62,15WH5TNL8GD986516-002
1A8CMLRTUGR146952,1,Dontechi,107.84,1A8CMLRTUGR146952-001
1A8CMLRTUGR146952,2,Green-Plus,510.84999999999997,1A8CMLRTUGR146952-002
