VIN	model_name	year	description	manufacturer_name	condition	vehicle_type	odometer	fuel_type	colors	purchase_date	price	purchased_from_customer	purchase_clerk	sale_date	sold_to_customer	salesperson
036EG6XGHFJ822528	DB9	2014	automatic torque converter; 	Aston Martin	Good	Minivan	108519.0	Gas	Brown	2023-02-07	2964.53	B9782424828	user06	2023-06-28	D6650795352	user08
03KAPEOTGE8482192	BOYUE/BOYUE L	2016	check the Monroney sticker - theer is nothing better than this vehicle; automatic torque converter; fuel injection; 	Geeley	Fair	Van	31167.0	Diesel	Brown,Metallic	2023-08-28	2570.77	D5950814801	user04			
054CB5NHFMK652777	GS-6 PROS	2023	great engine; 	Karma	Excellent	Coupe	3558.0	Gas	Bronze	2023-06-23	10362.71	B1852208630	user16	2023-08-30	A9661106493	user08
05PN35GUCGU088819	TSX	2014	Automotive Service Excellence (ASE); 	Acura	Excellent	Minivan	77920.0	Gas	Pink	2023-05-29	1503.96	83-3496482	user06	2023-08-12	A3910339352	user03
06E4W168GDV777330	RAM 1500 TRUCK	2010	no redline; 	Dodge	Very Good	Convertible	177500.0	Gas	Red	2022-07-09	5950.47	D8819452846	user10	2023-03-27	D6889152867	user20
0A45MTRRJ3K877609	XV CROSSTREK	2015	original equipment manufacturer (OEM) parts; 	Subaru	Excellent	Convertible	125991.0	Gas	Green,Orange	2023-04-08	5190.25	C3902566508	user19	2023-08-09	D2498998888	user23
0JMXH7GQF1K570196	RAM 2500	2003	sturdy rear axle assembly; 	Dodge	Very Good	Coupe	110102.0	Gas	Yellow	2023-02-08	3441.51	C3612640531	user11	2023-07-09	49-9516264	user25
0O56VQ0TP1C342110	GS-6 PROS	2023	automatic valves; superturbocharger; 	Karma	Good	Minivan	2460.0	Gas	Bronze	2023-05-14	10724.59	D8819452846	user05	2023-07-16	B1456216849	user01
0RTZMNEP443530450	V8 VANTAGE	2014		Aston Martin	Excellent	Convertible	34830.0	Gas	Bronze	2022-10-31	2834.73	C5341904042	user06			
0SR7K3TGOVW149442	R1T TOMORROW	2023		Rivian	Fair	Van	144334.0	Gas	Green	2023-04-03	1286.18	C8766275993	user15	2023-04-13	29-6662491	owner
0XPRYKN4QTB854977	DB7	2003	front axle assembly; Automotive Service Excellence (ASE); 	Aston Martin	Excellent	Sedan	86721.0	Gas	Metallic	2023-03-30	1505.45	C0266219877	user11	2023-05-01	A7994838891	user23
13DN4WJV2HW654524	CAMRY	2013	coupe; 	Toyota	Excellent	Van	119068.0	Gas	Tan,Purple	2023-03-11	1011.49	72-6876442	user18			
15WH5TNL8GD986516	COOPER	2012	convertible; gap; 	MINI	Excellent	Truck	140355.0	Gas	Red	2023-03-15	1384.05	A4366803067	user04	2023-07-26	B6082349948	user23
1A8CMLRTUGR146952	HILUX	2011	great engine; 	Toyota	Fair	Minivan	4860.0	Plugin Hybrid	Beige	2023-02-17	4502.59	C4774668646	user15			
1C05IGNBBB6823554	EVORA	2011	electronic transmission; 	Lotus	Good	Coupe	106076.0	Gas	Silver	2023-04-02	2526.28	C7290231462	user09	2023-06-06	D7602785929	user23
1GIQVMBR2A2798107	CAYENNE	2004	ultra new transmission; oversteer; 	Porsche	Good	SUV	76792.0	Plugin Hybrid	Orange	2022-07-18	4281.06	B1852208630	user22	2022-12-20	A1981245672	user20
1HHB3PGRMMK153438	MP4-12C	2013		McLaren	Fair	Coupe	13260.0	Fuel Cell	Rose	2023-06-17	1262.57	B6923660033	user16			
1J538YW76YE281757	LX570	2011		Lexus	Fair	Van	2082.0	Gas	Red	2022-07-12	4514.43	B6364451946	user04	2023-05-23	87-8575736	user07
1JRH0ZBVOBE937509	CX-5	2014	no understeer; 	MAZDA	Very Good	Minivan	18580.0	Gas	Rust	2023-01-26	1189.26	59-9733673	user11	2023-07-17	B9782424828	owner
1M1GEHMECS1730055	S	2014	original equipment manufacturer (OEM) parts; four-wheel drive; 	Tesla	Very Good	Convertible	43950.0	Plugin Hybrid	Gray	2022-07-21	2815.81	C3378134863	user13	2023-06-18	35-9898298	user20
1MV1LD01B0D736628	B2300	2005	sturdy rear axle assembly; 	MAZDA	Fair	Sedan	207160.0	Gas	Copper,Gray	2022-12-29	1118.40	C3378134863	user09	2023-02-15	D4831519171	user07
1P2ISJXQKIW025651	ES8 NEW	2023	Automotive Service Excellence (ASE); check the Monroney sticker - theer is nothing better than this vehicle; 	Nio	Very Good	SUV	146172.0	Gas	Beige,Purple	2023-02-28	3611.00	D7602785929	user11	2023-03-02	D9669540937	owner
1RMG763RUOZ482821	ALLROAD QUATTRO	2013	manual transmission; 	Audi	Very Good	Truck	128265.0	Battery	Black	2023-04-26	4098.92	35-9898298	user15			
1U7J5TO2RMU974230	ESCALADE ESV	2008		Cadillac	Fair	Van	104570.0	Gas	Rust	2022-10-15	1159.61	07-2036529	user19			
1V61QHRD20E210923	BOYUE/BOYUE L	2016	no redline; no redline; 	Geeley	Excellent	Minivan	82042.0	Battery	Beige,Pink,White	2023-03-16	2570.77	B1731449781	user09			
23VKNWAH4WQ056833	BOXSTER	2006		Porsche	Fair	Convertible	10488.0	Gas	Red	2023-08-30	7257.96	D5508697748	user04	2023-08-31	B5196684007	user23
2BEGOJVB21D198188	V70	2005	small spark plug gap; 	Volvo	Fair	Minivan	41505.0	Plugin Hybrid	Metallic	2023-02-10	3423.52	C3914994260	user05			
2CB6WLH88NB344487	S	2014	automatic transmission; wide cam; safe oil ring; 	Tesla	Very Good	Sedan	160473.0	Gas	Blue,Orange,Tan	2023-04-13	2815.81	24-4045456	user09	2023-04-21	35-9898298	user07
2DHOH4P4672123749	XINGYUE L	2023	good piston; 	Geeley	Good	Sedan	160956.0	Battery	Claret,Tan,White	2023-01-04	4023.89	B0838220816	user16	2023-06-06	A0936623718	user14
2JUBCDLLXSB731848	CAYMAN	2011	high volume cylinder; 	Porsche	Excellent	Van	16382.0	Battery	Rose	2023-01-25	2723.58	B0838220816	user06	2023-08-27	B5738835693	user01
2LUXDFJTYZA796766	RAM 2500	2009	convertible; 	Dodge	Good	Minivan	11657.0	Gas	Tan	2023-01-26	3441.51	96-6692589	user19			
2MSC0A8PW8U686208	TAHOE	2003	wide chassis; 	Chevrolet	Excellent	SUV	48644.0	Plugin Hybrid	Purple,Copper	2022-11-01	3887.81	B6301637672	user16			
2N45QQ7SMY3757149	GRAND CHEROKEE	2012	detail; 	Jeep	Fair	Coupe	4506.0	Gas	Tan	2023-08-26	3076.00	D0233458616	user18	2023-08-27	A5896813739	owner
2Y1UCXYY50T192604	SAVANA 2500	2013	automatic torque converter; 	GMC	Good	Minivan	60965.0	Gas	Green,Purple,Rust	2022-08-11	5965.76	17-3450014	owner	2022-11-17	A5530386031	user21
2YHAF0V8512939431	ZDX	2010	active safety features; Automotive Service Excellence (ASE); 	Acura	Excellent	SUV	60084.0	Gas	Black	2022-07-08	5324.31	B1456216849	user22	2023-07-11	B7194397683	user25
2YTUEYSLDJG398062	FORTE KOUP	2012		Kia	Excellent	SUV	72720.0	Gas	Claret,Metallic	2023-02-12	1180.12	D6889152867	user04	2023-04-10	A3910339352	user08
30YUJXKGY7I314746	AVENTADOR	2013	original equipment manufacturer (OEM) parts; good piston; 	Lamborghini	Very Good	Truck	57066.0	Gas	Red	2023-03-06	2240.99	06-8876566	user04			
323F5QUAPKX190724	R1S NEW	2023	super new ignition system; 	Rivian	Fair	Sedan	123358.0	Battery	Red	2022-12-14	1487.55	C6109199686	user04	2023-05-22	B6010570650	user12
340C5KYKWVM715838	B4000	2003	great rpms; 	MAZDA	Very Good	Van	149043.0	Hybrid	Beige,White	2022-10-28	4086.58	50-9862780	user13	2022-12-26	B2638494209	user01
3464CBUBJ3G311266	575 M MARANELLO	2005	no backfire/backfiring; 	Ferrari	Excellent	Coupe	17392.0	Plugin Hybrid	White	2022-08-01	2822.02	B3290593615	user06	2023-03-17	B8786618373	user23
3EAZYH5SPE8904041	A4 QUATTRO	2002	gap; 	Audi	Very Good	Sedan	30354.0	Plugin Hybrid	Rose	2022-07-12	5343.71	C7183960183	user05	2023-01-24	B6364451946	user25
3NED8CVSG6V494138	XFR	2014	broad wheelbase; modern dashboard; 	Jaguar	Fair	SUV	13134.0	Gas	Copper	2023-02-14	3706.14	B8786618373	owner	2023-03-29	20-2164350	user01
3P0R7483FP1117876	ATTITUDE	2009	minivan; 	Dodge	Very Good	SUV	149700.0	Gas	Red,Metallic	2022-08-27	4238.92	B5346544142	user04			
4BSRNVZZ2CQ691731	TOWN & COUNTRY	2012	convertible; 	Chrysler	Good	Minivan	89038.0	Gas	Gold	2022-07-19	1858.77	35-9898298	user15	2023-06-06	A3910339352	owner
4BW4C1KL6TZ577336	RS4	2007	original equipment manufacturer (OEM) parts; 	Audi	Fair	Convertible	3900.0	Diesel	Orange	2023-08-03	3218.80	17-3450014	user19	2023-08-20	A0461291890	user01
4HVC60L66KI459720	B3000	2003	high quality carburetor; no backfire/backfiring; 	MAZDA	Excellent	Truck	22666.0	Gas	Maroon	2023-03-02	2668.19	C8583214663	user06	2023-04-17	B5346544142	user08
4QL2U7A4H4J019100	EXPLORER	2007	high differential; 	Ford	Good	SUV	27724.0	Gas	Rose	2023-06-15	3462.65	D4371833181	user05			
4RJT1NOLXUG037441	CONTINENTAL	2015		Bentley	Good	SUV	111896.0	Gas	Aluminum	2023-07-31	1220.94	B6923660033	user05	2023-08-26	D0233458616	user12
4TJ5T18OMFN710800	4RUNNER	2010	strong muffler; 	Toyota	Very Good	Truck	11395.0	Battery	Black	2023-01-14	2670.24	A3383028473	user05	2023-02-19	81-7754883	user21
