vendor_name	phone	street	city	state	postal_code
Bioholding	4708285765	1080 13-street	Laredo	VA	20618
Doncon	8634240978	4134 1-street	Honolulu	CO	53516
Donquadtech	4330271138	6342 10-street	Greensboro	NJ	21568
Dontechi	4349799101	1980 19-street	Kansas City	AZ	15321
Donware	3524489162	1082 16-street	Jersey City	CA	46411
Faxquote	8628022276	3533 14-street	San Antonio	TX	45774
Green-Plus	4949676580	8190 14-street	Anaheim	CA	47198
Isdom	7773737055	3447 3-street	Colorado Springs	NE	42275
J-Texon	4336879232	6594 20-street	Louisville/Jefferson County	OR	75254
Konmatfix	5826379602	5602 11-street	St. Paul	OH	82076
Newex	6597177673	1421 7-street	Chula Vista	IN	29195
Ontomedia	1287442780	430 11-street	Buffalo	NJ	52404
Plusstrip	3314841835	9626 13-street	Pittsburgh	AK	27911
Rundofase	1145674122	1671 17-street	Lexington-Fayette	PA	31823
Scotfind	6602654784	7881 14-street	San Francisco	CA	78014
Stanredtax	9669721351	3849 17-street	Chicago	IL	88447
Streethex	3157040219	321 9-street	Fresno	CA	53376
Sumace	2740994602	9854 19-street	Cincinnati	MN	20643
Xx-zobam	1024912710	2887 11-street	Arlington	LA	95543
Yearin	4600382366	15 7-street	Detroit	MI	19807
